variant_id,variant_type,n_images,annotation_quality,sharpness,clip_diversity,lighting_diversity,pose_diversity,class_balance,map50,map50_95,training_epochs,elapsed_s
v00_full,baseline,128,0.8027,0.4606,0.4925,0.4584,0.8314,0.924,0.5921085693273365,0.4363895384756831,15,75.8
v01_subset_20pct,size_variant,25,0.8844,0.4124,0.5042,0.3042,0.7932,0.9397,0.5025768909044472,0.36452417970969386,15,32.0
v02_subset_30pct,size_variant,38,0.8006,0.4943,0.4969,0.5493,0.7811,0.9131,0.5163512236884441,0.37965802348296557,15,37.2
v03_subset_40pct,size_variant,51,0.8204,0.4674,0.4924,0.4494,0.7851,0.9309,0.5069415513562121,0.36939890351782984,15,42.9
v04_subset_50pct,size_variant,64,0.8092,0.4481,0.4989,0.4218,0.8257,0.9241,0.5467574893412325,0.4006159113233979,15,48.3
v05_subset_60pct,size_variant,76,0.7962,0.4521,0.4932,0.5493,0.8378,0.9204,0.5652921879790567,0.4080524728304758,15,53.4
v06_subset_70pct,size_variant,89,0.807,0.4511,0.4919,0.4433,0.8313,0.9139,0.5439123323872829,0.4058188685684266,15,60.9
v07_subset_80pct,size_variant,102,0.8048,0.4764,0.487,0.3789,0.838,0.9373,0.5744290325609577,0.42357499127624243,15,66.3
v09_noise_s5,noise,89,0.7878,0.4762,0.4899,0.3908,0.7787,0.9237,0.5402521111973778,0.3873382019220688,15,59.8
v10_noise_s15,noise,89,0.7916,0.4718,0.4839,0.5188,0.8073,0.916,0.5319900182357468,0.3920964948645144,15,61.0
v11_noise_s25,noise,89,0.7951,0.3845,0.487,0.5188,0.8474,0.918,0.5231373182944762,0.3830940161746908,15,61.0
v12_noise_s35,noise,89,0.8066,0.2137,0.4639,0.4939,0.8222,0.9226,0.49114497247864386,0.35923273587101123,15,60.4
v13_noise_s50,noise,89,0.8013,0.0056,0.4358,0.445,0.85,0.9193,0.47122633122089475,0.3417128158724129,15,61.0
v14_noise_s75,noise,89,0.7976,0.0,0.38,0.4381,0.829,0.915,0.41264670130013814,0.2903677411813377,15,61.1
v15_dark_20,brightness,76,0.7913,0.1732,0.401,0.0,0.8451,0.9431,0.4576510734168689,0.3247676983841388,15,53.5
v16_dark_40,brightness,76,0.8283,0.3259,0.4487,0.0,0.8298,0.9136,0.5286787884375208,0.3829455177815735,15,53.6
v17_dark_50,brightness,76,0.8274,0.3837,0.4593,0.3311,0.837,0.9212,0.5290223028280486,0.3818015145789698,15,54.2
v18_dark_60,brightness,76,0.7754,0.4286,0.4769,0.5922,0.8468,0.894,0.533362844064696,0.39152169080510707,15,56.0
v19_dark_80,brightness,76,0.794,0.4584,0.4738,0.4685,0.7648,0.9284,0.5528824397934894,0.39386899406309944,15,53.7
v20_blur_k3,blur,89,0.8275,0.4321,0.4758,0.4703,0.8281,0.9172,0.5484080602543023,0.4085581676105611,15,60.5
v21_blur_k7,blur,89,0.8111,0.2148,0.4457,0.4703,0.8318,0.9113,0.5282709680284612,0.3801307074177742,15,59.6
v22_blur_k11,blur,89,0.798,0.1375,0.4088,0.4939,0.8308,0.9382,0.5252580825477003,0.3765127060074231,15,59.4
v23_blur_k21,blur,89,0.7963,0.0768,0.362,0.5161,0.8749,0.933,0.41051238734125983,0.293748178554431,15,60.5
v24_blur_k41,blur,89,0.8264,0.0583,0.2776,0.5188,0.8137,0.9311,0.08213928941089314,0.058579978786365824,15,59.8
v25_noise_dark,noise+dark,64,0.7877,0.463,0.4722,0.5408,0.7774,0.8899,0.5025645922905926,0.36429019111775635,15,50.5
v26_noise_blur,noise+blur,64,0.7983,0.2225,0.4276,0.3424,0.8513,0.9051,0.5200126145906557,0.36991930828816916,15,50.4
v27_dark_blur,dark+blur,64,0.7972,0.0814,0.3885,0.1722,0.7722,0.9485,0.4691577382754178,0.34137729714663373,15,49.4
v28_heavy_degrade,heavy_degrade,64,0.7889,0.0644,0.3494,0.0,0.8103,0.9226,0.3701908737101313,0.26470717486004336,15,48.4
v29_small_clean,small_clean,15,0.72,0.493,0.4785,0.5714,0.7297,0.8686,0.5143879199766407,0.36902110718231823,15,28.7
v30_lbl_miss_10,label_missing,89,0.7597,0.4926,0.496,0.418,0.8325,0.9062,0.5673335497212825,0.4108945870076589,15,60.5
v31_lbl_miss_20,label_missing,89,0.7158,0.4683,0.4921,0.4703,0.8207,0.9295,0.5453919932264992,0.399398494493508,15,60.1
v32_lbl_miss_30,label_missing,89,0.621,0.4729,0.4863,0.4939,0.8744,0.9015,0.5310714847075223,0.3816657352119382,15,59.2
v33_lbl_miss_50,label_missing,89,0.5426,0.4519,0.4903,0.4142,0.7601,0.8967,0.5094080933498382,0.36575014134326406,15,58.3
