variant_id,variant_type,n_images,annotation_quality,sharpness,clip_diversity,lighting_diversity,pose_diversity,class_balance,map50,map50_95,training_epochs,elapsed_s
v00_full,baseline,128,0.8027,0.4606,0.4942,0.4584,0.8314,0.924,0.6724611887289849,0.508619683093622,50,257.8
v01_subset_20pct,size_variant,25,0.8844,0.4124,0.5042,0.3042,0.7932,0.9397,0.48967958538335227,0.35871841688512557,50,107.5
v02_subset_30pct,size_variant,38,0.8006,0.4943,0.4969,0.5493,0.7811,0.9131,0.5233345322275104,0.3726766012118451,50,123.6
v03_subset_40pct,size_variant,51,0.8204,0.4674,0.4924,0.4494,0.7851,0.9309,0.5095249646267647,0.3627289093190681,50,143.5
v04_subset_50pct,size_variant,64,0.8092,0.4481,0.4989,0.4218,0.8257,0.9241,0.5671463332097549,0.41071605570298464,50,163.4
v05_subset_60pct,size_variant,76,0.7962,0.4521,0.4932,0.5493,0.8378,0.9204,0.5766276446911598,0.4220191964020299,50,182.5
v06_subset_70pct,size_variant,89,0.807,0.4511,0.4919,0.4433,0.8313,0.9139,0.5746378834212065,0.42667098351696015,50,200.3
v07_subset_80pct,size_variant,102,0.8048,0.4764,0.4888,0.3789,0.838,0.9373,0.6287703495107635,0.46990301779754967,50,221.4
v09_noise_s5,noise,89,0.7878,0.4762,0.4877,0.3908,0.7787,0.9237,0.5833743099668989,0.42046594160552864,50,202.1
v10_noise_s15,noise,89,0.7916,0.4716,0.4864,0.5188,0.8073,0.916,0.5456803892160781,0.40188773730323735,50,202.4
v11_noise_s25,noise,89,0.7951,0.3844,0.4885,0.5188,0.8474,0.918,0.5233986062133305,0.3860115663928581,50,203.9
v12_noise_s35,noise,89,0.8066,0.2146,0.4661,0.4939,0.8222,0.9226,0.5102077610150394,0.3801613086128716,50,204.6
v13_noise_s50,noise,89,0.8013,0.0056,0.4319,0.445,0.85,0.9193,0.5054876222905436,0.35787832494551025,50,203.8
v14_noise_s75,noise,89,0.7976,0.0,0.378,0.4381,0.829,0.915,0.4690041188430743,0.33261247740471683,50,203.8
v15_dark_20,brightness,76,0.7913,0.1732,0.401,0.0,0.8451,0.9431,0.4634724011014476,0.32567960442806076,50,180.8
v16_dark_40,brightness,76,0.8283,0.3259,0.4487,0.0,0.8298,0.9136,0.5212538819386024,0.383420201952472,50,181.2
v17_dark_50,brightness,76,0.8274,0.3837,0.4593,0.3311,0.837,0.9212,0.5154873053284659,0.3803404691650605,50,180.3
v18_dark_60,brightness,76,0.7754,0.4286,0.4769,0.5922,0.8468,0.894,0.5444448785004768,0.3812333946244322,50,185.0
v19_dark_80,brightness,76,0.794,0.4584,0.4738,0.4685,0.7648,0.9284,0.5610029530625356,0.4058555302582368,50,180.8
v20_blur_k3,blur,89,0.8275,0.4321,0.4758,0.4703,0.8281,0.9172,0.5906486216044333,0.43809972886708964,50,203.2
v21_blur_k7,blur,89,0.8111,0.2148,0.4457,0.4703,0.8318,0.9113,0.5561943705700206,0.40505233394618473,50,201.6
v22_blur_k11,blur,89,0.798,0.1375,0.4088,0.4939,0.8308,0.9382,0.5482253702010487,0.4082090182637506,50,201.1
v23_blur_k21,blur,89,0.7963,0.0768,0.362,0.5161,0.8749,0.933,0.43968921612159917,0.32116594789171476,50,200.0
v24_blur_k41,blur,89,0.8264,0.0583,0.2776,0.5188,0.8137,0.9311,0.1409637485614107,0.09502934103913399,50,202.9
v25_noise_dark,noise+dark,64,0.7877,0.4629,0.4713,0.5408,0.7774,0.8899,0.505145733685517,0.3662986086101105,50,162.4
v26_noise_blur,noise+blur,64,0.7983,0.2225,0.4253,0.3424,0.8513,0.9051,0.5177896728620929,0.3732990965753015,50,164.5
v27_dark_blur,dark+blur,64,0.7972,0.0814,0.3885,0.1722,0.7722,0.9485,0.4270081631494605,0.3145853611927465,50,161.4
v28_heavy_degrade,heavy_degrade,64,0.7889,0.0644,0.3481,0.0,0.8103,0.9226,0.349786822593245,0.25160636268925096,50,162.6
v29_small_clean,small_clean,15,0.72,0.493,0.4785,0.5714,0.7297,0.8686,0.4680732114141152,0.3422802097963298,50,93.0
