variant_id,variant_type,n_images,annotation_quality,sharpness,clip_diversity,lighting_diversity,pose_diversity,class_balance,map50,map50_95,training_epochs,elapsed_s
v00_full,baseline,128,0.8027,0.4606,0.4904,0.4584,0.8314,0.924,0.5912679164736526,0.4364361195848479,15,677.2
v01_subset_20pct,size_variant,25,0.8844,0.4124,0.5042,0.3042,0.7932,0.9397,0.5025768698469725,0.3645241798257267,15,425.3
v02_subset_30pct,size_variant,38,0.8006,0.4943,0.4969,0.5493,0.7811,0.9131,0.5163512236884441,0.37965802348296557,15,39.6
v03_subset_40pct,size_variant,51,0.8204,0.4674,0.4924,0.4494,0.7851,0.9309,0.5073300363441215,0.3693288703323874,15,45.2
v04_subset_50pct,size_variant,64,0.8092,0.4481,0.4989,0.4218,0.8257,0.9241,0.5467574893412325,0.40061366790783726,15,50.4
v05_subset_60pct,size_variant,76,0.7962,0.4521,0.4932,0.5493,0.8378,0.9204,0.5660827835608135,0.4079091241714602,15,56.3
v06_subset_70pct,size_variant,89,0.807,0.4511,0.4919,0.4433,0.8313,0.9139,0.5437607919665786,0.4056920408144718,15,64.1
v07_subset_80pct,size_variant,102,0.8048,0.4764,0.4879,0.3789,0.838,0.9373,0.5729777233661458,0.42309944978747505,15,70.6
v09_noise_s5,noise,89,0.7878,0.4762,0.4886,0.3908,0.7787,0.9237,0.5317623481301041,0.3875518465668679,15,63.6
v10_noise_s15,noise,89,0.7916,0.4721,0.4869,0.5188,0.8073,0.916,0.5459612040447436,0.39306283521390645,15,62.7
v11_noise_s25,noise,89,0.7951,0.3847,0.4862,0.5188,0.8474,0.918,0.5189766144660357,0.3778671643907973,15,63.7
v12_noise_s35,noise,89,0.8066,0.214,0.4658,0.4939,0.8222,0.9226,0.49529708233202535,0.3608825794673375,15,63.0
v13_noise_s50,noise,89,0.8013,0.0056,0.4368,0.445,0.85,0.9193,0.47942185680167543,0.3452880188424796,15,63.2
v14_noise_s75,noise,89,0.7976,0.0,0.3804,0.4381,0.829,0.915,0.4098106663102753,0.28946623101856706,15,63.7
v15_dark_20,brightness,76,0.7913,0.1732,0.401,0.0,0.8451,0.9431,0.4576510032208847,0.324768080990095,15,56.1
v16_dark_40,brightness,76,0.8283,0.3259,0.4487,0.0,0.8298,0.9136,0.5286516238824023,0.3824221184195859,15,55.8
v17_dark_50,brightness,76,0.8274,0.3837,0.4593,0.3311,0.837,0.9212,0.5290228248686596,0.38180180791898244,15,55.8
v18_dark_60,brightness,76,0.7754,0.4286,0.4769,0.5922,0.8468,0.894,0.533888967386935,0.3923306249120934,15,57.3
v19_dark_80,brightness,76,0.794,0.4584,0.4738,0.4685,0.7648,0.9284,0.552867484172788,0.3938562064524695,15,56.1
v20_blur_k3,blur,89,0.8275,0.4321,0.4758,0.4703,0.8281,0.9172,0.5483015310081661,0.408396165210168,15,62.4
v21_blur_k7,blur,89,0.8111,0.2148,0.4457,0.4703,0.8318,0.9113,0.5289304071250147,0.38053790343154803,15,62.0
v22_blur_k11,blur,89,0.798,0.1375,0.4088,0.4939,0.8308,0.9382,0.5253590885340499,0.3762613001291491,15,62.1
v23_blur_k21,blur,89,0.7963,0.0768,0.362,0.5161,0.8749,0.933,0.41092075229560293,0.29387097872834334,15,62.9
v24_blur_k41,blur,89,0.8264,0.0583,0.2776,0.5188,0.8137,0.9311,0.08833794742238339,0.06377913635498227,15,63.1
v25_noise_dark,noise+dark,64,0.7877,0.4629,0.4679,0.5408,0.7774,0.8899,0.5110333365847951,0.3716838583901968,15,50.1
v26_noise_blur,noise+blur,64,0.7983,0.2225,0.4251,0.3424,0.8513,0.9051,0.5258844208103035,0.3737326279043544,15,50.3
v27_dark_blur,dark+blur,64,0.7972,0.0814,0.3885,0.1722,0.7722,0.9485,0.4677120674143805,0.3389286017881451,15,50.1
v28_heavy_degrade,heavy_degrade,64,0.7889,0.0644,0.3494,0.0,0.8103,0.9226,0.3830582247005041,0.2744158352832655,15,50.5
v29_small_clean,small_clean,15,0.72,0.493,0.4785,0.5714,0.7297,0.8686,0.5143879199766407,0.36902110718231823,15,28.3
v30_lbl_miss_10,label_missing,89,0.7597,0.4926,0.496,0.418,0.8325,0.9062,0.559648774248507,0.4064644568377744,15,63.4
v31_lbl_miss_20,label_missing,89,0.7158,0.4683,0.4921,0.4703,0.8207,0.9295,0.5455691610462117,0.39948462796621076,15,63.4
v32_lbl_miss_30,label_missing,89,0.621,0.4729,0.4863,0.4939,0.8744,0.9015,0.5312432329184077,0.3816339439146296,15,61.7
v33_lbl_miss_50,label_missing,89,0.5426,0.4519,0.4903,0.4142,0.7601,0.8967,0.5103460898824194,0.3656374489280198,15,61.7
v34_lbl_miss_70,label_missing,89,0.3954,0.4665,0.4962,0.4939,0.7208,0.9196,0.4693307563387662,0.3412022102427478,15,60.8
v35_lbl_miss_90,label_missing,89,0.2688,0.465,0.4913,0.418,0.7115,0.9248,0.26693037907520917,0.17271007561727306,15,58.2
v36_lbl_noise_3,label_noise,89,0.8229,0.4752,0.4962,0.3908,0.8472,0.93,0.5543416240227934,0.40111932208456313,15,62.8
v37_lbl_noise_10,label_noise,89,0.7994,0.4744,0.4856,0.4954,0.8345,0.9322,0.5269089531635309,0.35475126312084987,15,62.0
v38_lbl_noise_20,label_noise,89,0.7841,0.4656,0.4869,0.445,0.8334,0.9224,0.49611452001067785,0.2970338267823411,15,62.1
v39_blur2_k5,blur,89,0.8223,0.3321,0.4613,0.5188,0.8368,0.9166,0.5583559144649277,0.4036483509324877,15,63.6
v40_blur2_k9,blur,89,0.7967,0.1734,0.4279,0.4894,0.7809,0.9118,0.5325773910191972,0.38600255983922416,15,62.3
